1,V,-814,"2014-11-20 15:53:04.000397"
1,V,-934,"2014-11-20 15:53:04.000814"
1,V,-980,"2014-11-20 15:53:04.001230"
1,V,-1032,"2014-11-20 15:53:04.001647"
1,V,-1048,"2014-11-20 15:53:04.002064"
1,V,-1030,"2014-11-20 15:53:04.002480"
1,V,-958,"2014-11-20 15:53:04.002897"
1,V,-858,"2014-11-20 15:53:04.003314"
1,V,-668,"2014-11-20 15:53:04.003730"
1,V,-456,"2014-11-20 15:53:04.004147"
1,V,-256,"2014-11-20 15:53:04.004564"
1,V,-70,"2014-11-20 15:53:04.004980"
1,V,114,"2014-11-20 15:53:04.005397"
1,V,316,"2014-11-20 15:53:04.005814"
1,V,527,"2014-11-20 15:53:04.006230"
1,V,730,"2014-11-20 15:53:04.006647"
1,V,866,"2014-11-20 15:53:04.007064"
1,V,962,"2014-11-20 15:53:04.007480"
1,V,1016,"2014-11-20 15:53:04.007897"
1,V,1056,"2014-11-20 15:53:04.008314"
1,V,1064,"2014-11-20 15:53:04.008730"
1,V,1020,"2014-11-20 15:53:04.009147"
1,V,962,"2014-11-20 15:53:04.009564"
1,V,844,"2014-11-20 15:53:04.009980"
1,V,646,"2014-11-20 15:53:04.010397"
1,V,426,"2014-11-20 15:53:04.010814"
1,V,231,"2014-11-20 15:53:04.011230"
1,V,36,"2014-11-20 15:53:04.011647"
1,V,-144,"2014-11-20 15:53:04.012064"
1,V,-352,"2014-11-20 15:53:04.012480"
1,V,-556,"2014-11-20 15:53:04.012897"
1,V,-740,"2014-11-20 15:53:04.013314"
1,V,-870,"2014-11-20 15:53:04.013730"
1,V,-952,"2014-11-20 15:53:04.014147"
1,V,-1006,"2014-11-20 15:53:04.014564"
1,V,-1044,"2014-11-20 15:53:04.014980"
1,V,-1048,"2014-11-20 15:53:04.015397"
1,V,-984,"2014-11-20 15:53:04.015814"
1,V,-918,"2014-11-20 15:53:04.016230"
1,V,-789,"2014-11-20 15:53:04.016647"
1,V,-590,"2014-11-20 15:53:04.017064"
1,V,-378,"2014-11-20 15:53:04.017480"
1,V,-190,"2014-11-20 15:53:04.017897"
1,V,-4,"2014-11-20 15:53:04.018314"
1,V,171,"2014-11-20 15:53:04.018730"
1,V,380,"2014-11-20 15:53:04.019147"
1,V,578,"2014-11-20 15:53:04.019564"
1,V,764,"2014-11-20 15:53:04.019980"
1,V,886,"2014-11-20 15:53:04.020397"
1,V,974,"2014-11-20 15:53:04.020814"
1,V,1028,"2014-11-20 15:53:04.021230"
1,V,1058,"2014-11-20 15:53:04.021647"
1,V,1074,"2014-11-20 15:53:04.022064"
1,V,1020,"2014-11-20 15:53:04.022480"
1,V,964,"2014-11-20 15:53:04.022897"
1,V,852,"2014-11-20 15:53:04.023314"
1,V,660,"2014-11-20 15:53:04.023730"
1,V,444,"2014-11-20 15:53:04.024147"
1,V,250,"2014-11-20 15:53:04.024564"
1,V,60,"2014-11-20 15:53:04.024980"
1,V,-116,"2014-11-20 15:53:04.025397"
1,V,-316,"2014-11-20 15:53:04.025814"
1,V,-512,"2014-11-20 15:53:04.026230"
1,V,-706,"2014-11-20 15:53:04.026647"
1,V,-840,"2014-11-20 15:53:04.027064"
1,V,-940,"2014-11-20 15:53:04.027480"
1,V,-989,"2014-11-20 15:53:04.027897"
1,V,-1036,"2014-11-20 15:53:04.028314"
1,V,-1048,"2014-11-20 15:53:04.028730"
1,V,-1015,"2014-11-20 15:53:04.029147"
1,V,-952,"2014-11-20 15:53:04.029564"
1,V,-850,"2014-11-20 15:53:04.029980"
1,V,-664,"2014-11-20 15:53:04.030397"
1,V,-456,"2014-11-20 15:53:04.030814"
1,V,-260,"2014-11-20 15:53:04.031230"
1,V,-76,"2014-11-20 15:53:04.031647"
1,V,104,"2014-11-20 15:53:04.032064"
1,V,292,"2014-11-20 15:53:04.032480"
1,V,506,"2014-11-20 15:53:04.032897"
1,V,696,"2014-11-20 15:53:04.033314"
1,V,847,"2014-11-20 15:53:04.033730"
1,V,965,"2014-11-20 15:53:04.034147"
1,V,1006,"2014-11-20 15:53:04.034564"
1,V,1050,"2014-11-20 15:53:04.034980"
1,V,1064,"2014-11-20 15:53:04.035397"
